"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","E2E Shopping flow for buying a new bool","3","0","Validate adding a book to cart and proceed to checkout","0"
"1","","0","Test Get User/Endpoint operation on Petstore API","0","0","Validate that GET /user/{username} returns user details for existing user","0"
"0","","0","Validate CRU [Create - Read - Update] for Users endpoint","2","0","Validate that the Post /users Endpoint create a new user when sending a valid request.","0"
"0","","1","Test Delete User/Endpoint operation on Petstore API","0","0","Validate DELETE /user/{username} fails for non-existent users","0"
"0","","0","Validate CRU [Create - Read - Update] for Users endpoint","1","0","Validate that the Get /users with specific {ID} Endpoint get this user when sending a valid request.","0"
"0","","0","Test Create User/Endpoint operation on Petstore API","2","0","Validate POST /user fails with missing body in request","0"
"0","","1","Test User CRUD operations on Petstore API for user/Endpoint","0","0","End-to-End User lifecycle (Create → Read → Update → Delete) for user/Endpoint","0"
"0","","1","Test Get User/Endpoint operation on Petstore API","0","0","Validate GET /user/{username} fails for invalid usernames","0"
"0","","1","Test Create User/Endpoint operation on Petstore API","0","0","Validate that POST /user creates a new user with valid data","0"
"0","","0","E2E Shopping flow for ""Thinking in HTML"" book","1","0","Validate adding 'Thinking in HTML' book to cart and proceed to checkout","0"
"1","","0","Test Put User/Endpoint operation on Petstore API","0","0","Validate that PUT /user/{username} updates user data successfully","0"
"0","","0","Test Put User/Endpoint operation on Petstore API","1","0","Validate PUT /user/{username} fails with invalid update data","0"
